timestamp,symbol,side,price,quantity
2024-06-20 09:30:00,AAPL,buy,189.20,10
2024-06-20 09:35:00,TSLA,buy,672.10,5
2024-06-20 09:38:00,NVDA,sell,122.50,3
2024-06-20 09:42:00,AAPL,sell,190.00,10
2024-06-20 09:45:00,TSLA,sell,675.00,5
2024-06-20 09:46:30,MSFT,buy,323.10,4
2024-06-20 09:50:00,NFLX,buy,430.00,2
2024-06-20 09:52:00,AMZN,sell,122.80,1
2024-06-20 09:56:00,AAPL,buy,188.50,8
2024-06-20 10:01:00,NVDA,buy,121.90,4
2024-06-20 10:05:00,TSLA,buy,670.00,6
2024-06-20 10:08:00,MSFT,sell,324.50,4
2024-06-20 10:10:00,NFLX,sell,432.50,2
2024-06-20 10:11:30,AAPL,sell,189.10,8
2024-06-20 10:13:00,TSLA,sell,672.00,6
2024-06-20 10:15:00,GOOG,buy,139.00,3
2024-06-20 10:17:00,GOOG,sell,139.60,3
2024-06-20 10:19:00,AMZN,buy,123.00,2
2024-06-20 10:22:00,AMZN,sell,123.50,2
2024-06-20 10:25:00,NVDA,sell,122.10,4
2024-06-20 10:28:00,AAPL,buy,187.90,6
2024-06-20 10:32:00,TSLA,buy,668.00,4
2024-06-20 10:36:00,AAPL,sell,188.70,6
2024-06-20 10:39:00,TSLA,sell,670.00,4
