timestamp,symbol,side,price,quantity
2024-06-21 09:30:00,AAPL,buy,188.30,5
2024-06-21 09:31:00,AAPL,sell,188.70,5
2024-06-21 09:32:30,NVDA,buy,121.80,3
2024-06-21 09:34:00,NVDA,sell,122.10,3
2024-06-21 09:35:00,TSLA,buy,669.00,2
2024-06-21 09:36:00,TSLA,sell,670.00,2
2024-06-21 09:37:30,AMZN,buy,123.10,4
2024-06-21 09:39:00,AMZN,sell,123.50,4
2024-06-21 09:40:30,MSFT,buy,323.00,2
2024-06-21 09:42:00,MSFT,sell,323.80,2
2024-06-21 09:43:00,NFLX,buy,430.50,1
2024-06-21 09:44:00,NFLX,sell,431.00,1
2024-06-21 09:45:00,AAPL,buy,188.10,3
2024-06-21 09:46:00,AAPL,sell,188.60,3
2024-06-21 09:47:00,NVDA,buy,122.20,2
2024-06-21 09:48:00,NVDA,sell,122.80,2
2024-06-21 09:49:00,TSLA,buy,668.50,1
2024-06-21 09:50:00,TSLA,sell,669.30,1
2024-06-21 09:51:00,GOOG,buy,138.90,1
2024-06-21 09:52:00,GOOG,sell,139.20,1
2024-06-21 09:53:00,AAPL,buy,187.90,3
2024-06-21 09:54:00,AAPL,sell,188.20,3
2024-06-21 09:55:00,NFLX,buy,431.20,1
2024-06-21 09:56:00,NFLX,sell,431.70,1
